date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:28	245912/245912	---M-Z	200	added ('OK')	text/javascript	etag:%2271fa227a435b24aec95da4f5e620f00f%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fbd854d40b0804b7-min.en-US.js	C:/ArtSite/Art/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fbd854d40b0804b7-min.en-US.js	(from https://www.fineartnori.com/)
15:39:30	29216/29216	---M-Z	200	added ('OK')	text/javascript	etag:%22bfa777ea7fdc21c26373a03a9f589def%22	http://assets.squarespace.com/universal/scripts-compressed/performance-9e9becad3f889213-min.en-US.js	C:/ArtSite/Art/assets.squarespace.com/universal/scripts-compressed/performance-9e9becad3f889213-min.en-US.js	(from https://www.fineartnori.com/)
15:39:32	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2020%20Dec%202025%2014:39:16%20GMT	https://use.typekit.net/	C:/ArtSite/Art/use.typekit.net/index.html	(from https://www.fineartnori.com/)
15:39:41	714252/714252	---M-Z	200	added ('OK')	text/javascript	etag:%2292c246a3ac659a3d821013437c13f666%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-bde80c7679af5b90-min.en-US.js	C:/ArtSite/Art/assets.squarespace.com/universal/scripts-compressed/common-vendors-bde80c7679af5b90-min.en-US.js	(from https://www.fineartnori.com/)
15:39:45	107/107	---M--	200	added ('OK')	text/css	etag:%22f35d738d9565e65328fa909f074ff6e4%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/0487faca-76de-45a9-9148-c2ffa64943f8_365/website.components.spacer.styles.css	C:/ArtSite/Art/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/0487faca-76de-45a9-9148-c2ffa64943f8_365/website.components.spacer.styles.css	(from https://www.fineartnori.com/)
15:39:48	1110181/1110181	---M-Z	200	added ('OK')	text/javascript	etag:%2243f98c0d7b9c815e4d34a2243154706d%22	http://assets.squarespace.com/universal/scripts-compressed/common-90414f3d00abc5d8-min.en-US.js	C:/ArtSite/Art/assets.squarespace.com/universal/scripts-compressed/common-90414f3d00abc5d8-min.en-US.js	(from https://www.fineartnori.com/)
15:39:49	538/538	---M--	200	added ('OK')	application/javascript	etag:%22c26b23ec0629eff405cb78750fcaefbe%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/0487faca-76de-45a9-9148-c2ffa64943f8_365/website.components.spacer.visitor.js	C:/ArtSite/Art/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/0487faca-76de-45a9-9148-c2ffa64943f8_365/website.components.spacer.visitor.js	(from https://www.fineartnori.com/)
15:39:49	1564191/1564191	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Dec%202025%2014:39:49%20GMT	https://static1.squarespace.com/static/versioned-site-css/61cadc7ecece9f4a7133ee92/27/5c5a519771c10ba3470d8101/61cadc7fcece9f4a7133eece/1717/site.css	C:/ArtSite/Art/static1.squarespace.com/static/versioned-site-css/61cadc7ecece9f4a7133ee92/27/5c5a519771c10ba3470d8101/61cadc7fcece9f4a7133eece/1717/site.css	(from https://www.fineartnori.com/)
15:39:49	382784/382784	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Dec%202025%2014:39:49%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1766184538619-72W2T78VKF7EGEIPSK0V/static.css	C:/ArtSite/Art/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1766184538619-72W2T78VKF7EGEIPSK0V/static.css	(from https://www.fineartnori.com/)
15:39:50	79667/79667	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Dec%202025%2014:39:50%20GMT	https://www.fineartnori.com/cart	C:/ArtSite/Art/www.fineartnori.com/cart.html	(from https://www.fineartnori.com/)
15:39:51	93056/93056	---MCZ	200	added ('OK')	text/html	etag:W/%22d291ab3b03a2acd40963898adb4b1f77--gzip%22	https://www.fineartnori.com/about	C:/ArtSite/Art/www.fineartnori.com/about.html	(from https://www.fineartnori.com/)
15:39:52	82373/82373	---M-Z	200	added ('OK')	text/html	etag:W/%227ec15f538d1d434e55c48cd1b144a37f--gzip%22	https://www.fineartnori.com/contact	C:/ArtSite/Art/www.fineartnori.com/contact.html	(from https://www.fineartnori.com/)
15:39:52	1332621/1332621	---M--	200	added ('OK')	image/jpeg	etag:CNam+cPUhvUCEAE=	https://images.squarespace-cdn.com/content/v1/61cadc7ecece9f4a7133ee92/f5c5b728-b485-4d92-bad7-9aba8d8f4fa8/abandoned+garden.jpg	C:/ArtSite/Art/images.squarespace-cdn.com/content/v1/61cadc7ecece9f4a7133ee92/f5c5b728-b485-4d92-bad7-9aba8d8f4fa8/abandoned+garden.jpg	(from https://www.fineartnori.com/)
